customer_id,acquisition_channel,total_orders,avg_order_value,total_spend,days_since_last_order,cart_abandonment_count,email_open_rate,first_purchase_date,churn_date,churned
4001,Organic,11,99.07,1089.77,97,2,14.6,2025-09-07,2025-12-28,1
4002,Organic,13,38.72,503.36,92,3,36.3,2026-07-17,2026-08-14,1
4003,Organic,11,10.0,110.0,98,1,48.4,2026-03-31,,0
4004,Paid Search,11,32.59,358.49,72,0,38.5,2026-01-11,2026-06-02,1
4005,Organic,15,12.33,184.95,41,3,55.4,2025-10-14,,0
4006,Paid Search,10,14.82,148.2,25,1,76.0,2026-04-03,,0
4007,Organic,7,36.76,257.32,113,3,55.8,2026-07-12,,0
4008,Social Media,6,83.36,500.16,130,3,33.1,2025-10-04,2025-10-12,1
4009,Email,15,69.26,1038.9,8,1,54.3,2026-08-01,,0
4010,Social Media,10,222.04,2220.4,0,2,98.2,2025-12-17,,0
4011,Organic,5,18.46,92.3,85,6,42.2,2026-04-20,,0
4012,Social Media,9,68.85,619.65,81,4,76.8,2026-08-31,,0
4013,Organic,17,70.25,1194.25,25,1,96.3,2026-02-21,2026-08-20,1
4014,Social Media,8,129.8,1038.4,100,1,40.6,2026-04-17,,0
4015,Social Media,11,96.13,1057.43,40,1,91.7,2026-03-25,,0
4016,Paid Search,12,48.57,582.84,130,1,44.7,2026-06-27,,0
4017,Organic,3,65.18,195.54,133,2,41.2,2025-12-29,,0
4018,Email,6,38.04,228.24,97,2,51.3,2026-05-20,,0
4019,Email,5,30.27,151.35,91,1,59.4,2026-07-07,,0
4020,Social Media,7,56.78,397.46,34,0,54.4,2026-04-08,,0
4021,Email,15,41.01,615.15,47,0,67.3,2026-06-24,,0
4022,Email,7,32.43,227.01,112,5,19.5,2026-02-15,,0
4023,Organic,15,127.43,1911.45,64,3,37.3,2026-02-18,2026-05-19,1
4024,Social Media,9,53.31,479.79,55,2,28.2,2025-11-13,,0
4025,Paid Search,20,44.87,897.4,50,3,67.6,2025-09-08,2026-07-25,1
4026,Paid Search,8,30.5,244.0,69,1,79.4,2026-07-31,2026-08-25,1
4027,Organic,1,34.27,34.27,141,5,31.2,2026-08-18,,0
4028,Email,8,18.62,148.96,79,1,65.2,2026-03-23,2026-07-31,1
4029,Social Media,6,37.77,226.62,104,5,36.8,2026-08-07,2026-08-21,1
4030,Organic,12,93.07,1116.84,18,1,84.9,2025-10-25,2026-05-13,1
4031,Paid Search,8,19.82,158.56,113,0,25.0,2025-11-10,,0
4032,Paid Search,20,10.0,200.0,24,0,50.1,2026-03-27,2026-07-05,1
4033,Social Media,12,67.31,807.72,113,7,8.4,2025-09-15,,0
4034,Email,5,57.89,289.45,154,2,36.5,2026-02-23,2026-06-04,1
4035,Paid Search,22,129.75,2854.5,44,0,99.8,2026-02-13,,0
4036,Paid Search,1,26.11,26.11,144,6,26.9,2025-11-20,2026-03-25,1
4037,Social Media,1,13.16,13.16,148,3,21.5,2026-02-11,,0
4038,Paid Search,19,31.0,589.0,45,0,61.9,2025-12-14,,0
4039,Paid Search,1,15.89,15.89,116,4,44.1,2026-06-05,,0
4040,Organic,8,10.0,80.0,121,2,70.1,2026-02-26,,0
4041,Organic,14,42.71,597.94,70,2,79.8,2025-11-09,,0
4042,Paid Search,12,27.46,329.52,39,1,78.7,2025-09-13,,0
4043,Email,7,115.89,811.23,100,6,63.6,2026-06-22,,0
4044,Paid Search,1,55.12,55.12,156,2,38.9,2026-08-18,2026-08-23,1
4045,Organic,5,15.81,79.05,131,6,21.5,2026-01-27,,0
4046,Social Media,10,47.0,470.0,143,3,76.3,2026-08-12,2026-08-15,1
4047,Email,15,43.53,652.95,0,0,50.6,2025-12-25,,0
4048,Paid Search,11,67.73,745.03,69,1,68.8,2026-03-29,,0
4049,Organic,1,48.44,48.44,176,4,21.7,2025-11-12,,0
4050,Social Media,5,161.05,805.25,104,4,51.9,2026-07-05,,0
4051,Paid Search,18,10.11,181.98,29,1,88.4,2026-08-15,,0
4052,Social Media,11,36.05,396.55,73,7,43.4,2026-06-13,,0
4053,Organic,8,10.0,80.0,56,4,97.9,2026-08-08,,0
4054,Organic,3,41.88,125.64,73,2,56.9,2026-07-08,,0
4055,Paid Search,13,51.47,669.11,76,3,47.2,2025-11-28,,0
4056,Social Media,4,49.02,196.08,110,2,67.6,2025-12-22,,0
4057,Paid Search,6,44.9,269.4,145,1,32.0,2026-01-16,,0
4058,Organic,9,41.29,371.61,76,2,82.7,2026-03-31,,0
4059,Paid Search,9,57.26,515.34,67,3,73.2,2026-06-11,,0
4060,Social Media,4,41.66,166.64,104,7,0.0,2025-10-31,2026-01-09,1
4061,Organic,26,34.84,905.84,38,0,90.6,2025-10-16,,0
4062,Social Media,4,27.66,110.64,200,3,0.0,2026-06-01,2026-06-22,1
4063,Social Media,2,29.51,59.02,149,5,10.1,2025-10-08,2026-01-11,1
4064,Paid Search,5,65.04,325.2,166,3,29.5,2026-01-16,,0
4065,Email,1,10.0,10.0,77,3,53.5,2026-04-27,,0
4066,Email,5,46.12,230.6,76,0,50.7,2026-06-15,,0
4067,Paid Search,1,84.75,84.75,71,2,57.0,2026-01-28,2026-07-03,1
4068,Organic,16,89.31,1428.96,111,3,38.4,2026-08-26,,0
4069,Paid Search,13,10.0,130.0,142,1,51.3,2026-05-08,2026-06-08,1
4070,Organic,17,47.93,814.81,23,1,94.4,2025-12-23,,0
4071,Paid Search,7,31.38,219.66,133,7,23.2,2026-03-03,,0
4072,Email,1,34.42,34.42,133,6,50.7,2026-07-09,,0
4073,Email,3,100.22,300.66,122,5,39.3,2026-07-04,2026-08-03,1
4074,Paid Search,16,28.07,449.12,85,2,50.3,2025-12-21,,0
4075,Paid Search,14,77.92,1090.88,57,1,63.7,2025-10-30,2026-04-26,1
4076,Organic,14,28.68,401.52,0,0,91.1,2025-12-22,,0
4077,Paid Search,4,30.06,120.24,63,2,70.6,2026-07-05,,0
4078,Organic,16,23.39,374.24,125,5,43.1,2025-12-31,2026-07-16,1
4079,Email,7,45.73,320.11,82,1,25.6,2026-05-22,,0
4080,Email,4,37.24,148.96,80,1,70.9,2026-01-27,,0
4081,Organic,3,10.0,30.0,118,3,47.1,2026-01-28,,0
4082,Social Media,6,10.0,60.0,56,6,94.4,2025-10-13,,0
4083,Social Media,9,60.64,545.76,85,3,60.3,2025-11-03,,0
4084,Email,12,17.14,205.68,109,4,41.2,2026-08-04,,0
4085,Paid Search,12,59.67,716.04,46,0,100.0,2026-08-31,2026-09-01,1
4086,Organic,7,10.0,70.0,145,2,36.2,2025-09-25,,0
4087,Social Media,10,40.18,401.8,112,6,25.2,2026-05-12,,0
4088,Organic,13,62.65,814.45,78,2,31.5,2026-08-07,,0
4089,Social Media,9,26.58,239.22,39,3,51.9,2026-06-23,,0
4090,Organic,23,20.96,482.08,109,1,72.4,2026-03-04,2026-06-27,1
4091,Social Media,8,45.98,367.84,71,5,22.2,2025-10-11,,0
4092,Email,10,72.26,722.6,58,0,75.8,2025-09-29,,0
4093,Organic,11,31.45,345.95,6,0,96.1,2026-01-04,,0
4094,Paid Search,7,18.11,126.77,101,1,0.2,2026-05-25,,0
4095,Social Media,1,10.0,10.0,84,2,41.7,2025-12-14,,0
4096,Organic,4,36.64,146.56,139,2,27.1,2025-10-30,2026-06-07,1
4097,Social Media,8,10.0,80.0,2,0,75.8,2026-04-04,,0
4098,Social Media,5,100.87,504.35,97,3,8.3,2026-01-27,2026-05-28,1
4099,Paid Search,2,44.73,89.46,84,3,29.8,2026-03-06,2026-04-07,1
4100,Email,7,22.34,156.38,25,4,8.2,2025-10-21,,0
4101,Paid Search,8,30.48,243.84,80,2,27.2,2026-01-20,,0
4102,Social Media,18,43.46,782.28,104,3,50.6,2026-08-14,2026-08-20,1
4103,Organic,11,32.85,361.35,31,0,67.6,2025-10-17,,0
4104,Organic,1,38.94,38.94,127,3,18.1,2026-02-10,2026-05-29,1
4105,Organic,3,12.4,37.2,122,6,34.0,2026-03-27,,0
4106,Email,3,101.66,304.98,81,2,39.6,2026-06-24,,0
4107,Email,9,10.0,90.0,76,2,57.9,2025-12-20,,0
4108,Email,7,10.0,70.0,124,4,31.8,2026-08-25,,0
4109,Organic,5,33.1,165.5,87,4,59.8,2026-06-29,,0
4110,Paid Search,15,19.68,295.2,106,1,26.0,2025-12-23,,0
4111,Social Media,11,71.11,782.21,140,1,64.2,2026-05-24,,0
4112,Social Media,3,10.0,30.0,78,1,51.3,2025-12-01,2026-03-13,1
4113,Organic,3,20.31,60.93,123,6,33.0,2026-05-28,,0
4114,Email,9,53.68,483.12,67,0,95.5,2025-12-06,,0
4115,Organic,17,71.18,1210.06,14,4,65.4,2025-12-27,,0
4116,Organic,5,116.12,580.6,21,1,55.6,2025-12-09,,0
4117,Email,10,10.0,100.0,7,2,74.4,2025-12-07,,0
4118,Paid Search,3,84.48,253.44,129,8,42.2,2025-11-13,2026-04-07,1
4119,Paid Search,14,68.96,965.44,52,0,58.1,2026-04-19,,0
4120,Social Media,11,31.83,350.13,100,4,23.3,2026-03-13,,0
4121,Email,18,22.68,408.24,75,1,92.3,2026-08-06,,0
4122,Organic,12,54.72,656.64,56,3,79.6,2026-04-27,2026-07-12,1
4123,Social Media,11,41.24,453.64,53,1,60.3,2026-03-17,,0
4124,Paid Search,7,53.52,374.64,85,4,2.9,2025-11-23,2026-04-10,1
4125,Organic,8,21.84,174.72,52,1,100.0,2025-10-06,,0
4126,Paid Search,8,46.57,372.56,31,1,91.2,2025-12-31,,0
4127,Paid Search,3,35.07,105.21,173,6,10.7,2026-07-16,2026-08-01,1
4128,Organic,1,43.84,43.84,113,8,12.8,2026-06-19,,0
4129,Paid Search,13,23.35,303.55,36,1,62.6,2026-02-18,,0
4130,Social Media,7,41.54,290.78,67,2,32.0,2026-03-26,,0
4131,Social Media,9,103.43,930.87,80,6,56.5,2025-09-26,2026-04-17,1
4132,Social Media,6,96.73,580.38,173,6,8.0,2026-06-26,2026-07-06,1
4133,Email,12,56.0,672.0,73,6,55.8,2026-02-04,,0
4134,Paid Search,12,20.17,242.04,27,2,62.2,2025-11-20,,0
4135,Paid Search,12,127.81,1533.72,20,1,60.7,2026-03-25,,0
4136,Paid Search,17,56.04,952.68,0,0,100.0,2026-06-02,,0
4137,Social Media,1,129.03,129.03,107,6,21.9,2026-07-15,2026-07-18,1
4138,Organic,7,59.15,414.05,111,5,46.1,2026-01-16,,0
4139,Paid Search,20,10.79,215.8,35,2,63.8,2026-01-13,,0
4140,Organic,11,129.37,1423.07,76,2,30.3,2025-12-06,2026-02-27,1
4141,Paid Search,13,78.1,1015.3,61,2,55.2,2025-10-30,2026-05-03,1
4142,Email,5,27.46,137.3,81,4,17.9,2025-09-04,,0
4143,Social Media,11,10.0,110.0,109,2,37.6,2026-06-24,,0
4144,Paid Search,10,76.13,761.3,77,4,42.1,2026-03-26,2026-07-02,1
4145,Social Media,6,66.27,397.62,154,4,18.9,2026-05-05,,0
4146,Social Media,7,158.76,1111.32,91,5,49.9,2025-10-17,2025-11-16,1
4147,Paid Search,13,122.79,1596.27,69,0,28.4,2026-07-19,,0
4148,Paid Search,20,109.66,2193.2,14,0,71.1,2026-01-01,,0
4149,Social Media,15,45.1,676.5,51,0,85.0,2026-05-09,,0
4150,Organic,14,39.56,553.84,43,2,85.8,2026-08-28,,0
4151,Paid Search,9,74.93,674.37,44,3,11.9,2026-01-25,,0
4152,Paid Search,5,18.23,91.15,94,1,63.1,2026-04-11,,0
4153,Social Media,12,42.77,513.24,0,2,100.0,2025-12-22,,0
4154,Email,16,36.96,591.36,7,1,96.9,2026-04-10,,0
4155,Social Media,4,80.85,323.4,60,3,38.3,2026-06-23,,0
4156,Paid Search,7,102.51,717.57,114,8,25.4,2026-07-19,,0
4157,Organic,4,69.53,278.12,99,4,51.2,2026-06-26,2026-08-09,1
4158,Social Media,6,21.01,126.06,104,2,42.4,2026-03-25,,0
4159,Email,11,121.63,1337.93,37,1,84.8,2026-05-25,2026-08-01,1
4160,Email,15,73.51,1102.65,12,2,78.1,2026-07-20,,0
4161,Email,7,60.55,423.85,83,1,79.1,2026-05-08,,0
4162,Organic,15,66.65,999.75,0,1,98.5,2025-10-31,,0
4163,Social Media,15,21.23,318.45,16,1,86.6,2025-10-29,,0
4164,Email,13,28.12,365.56,60,0,97.5,2026-04-21,,0
4165,Social Media,2,109.3,218.6,81,4,49.0,2026-02-22,,0
4166,Social Media,16,10.56,168.96,46,1,79.2,2026-06-26,2026-07-17,1
4167,Paid Search,1,23.32,23.32,118,6,16.0,2026-04-03,2026-04-12,1
4168,Social Media,4,78.42,313.68,165,5,18.5,2026-01-24,2026-04-13,1
4169,Organic,13,42.48,552.24,14,0,65.7,2026-08-25,,0
4170,Organic,7,17.85,124.95,105,6,0.0,2025-10-22,2026-01-03,1
4171,Email,1,29.94,29.94,97,2,25.8,2025-10-05,,0
4172,Email,12,49.37,592.44,39,1,70.2,2025-09-24,,0
4173,Email,7,36.3,254.1,97,0,38.4,2026-06-15,,0
4174,Paid Search,9,68.42,615.78,92,5,44.0,2025-10-09,,0
4175,Organic,8,27.35,218.8,128,4,33.5,2026-07-21,2026-08-04,1
4176,Organic,10,62.36,623.6,39,1,100.0,2025-10-14,,0
4177,Email,1,62.76,62.76,161,2,4.0,2026-07-13,,0
4178,Social Media,19,55.23,1049.37,17,0,69.8,2026-04-26,,0
4179,Email,10,42.84,428.4,35,2,63.2,2025-09-19,,0
4180,Paid Search,8,70.03,560.24,81,2,56.7,2026-02-28,2026-06-28,1
4181,Social Media,6,17.8,106.8,146,3,49.0,2026-06-13,,0
4182,Social Media,2,14.22,28.44,128,1,13.1,2026-04-18,,0
4183,Organic,28,74.66,2090.48,11,1,77.1,2026-05-03,,0
4184,Email,3,73.02,219.06,106,0,49.3,2025-09-29,,0
4185,Social Media,5,24.24,121.2,115,3,0.0,2026-04-03,2026-05-26,1
4186,Organic,7,19.74,138.18,78,6,69.9,2026-07-29,2026-08-27,1
4187,Organic,18,23.48,422.64,37,0,81.2,2026-07-02,,0
4188,Email,18,64.71,1164.78,10,0,89.3,2026-02-10,,0
4189,Social Media,2,67.72,135.44,122,5,41.7,2026-08-27,2026-08-28,1
4190,Social Media,7,20.39,142.73,97,0,49.4,2026-06-02,,0
4191,Social Media,1,63.72,63.72,151,7,7.0,2026-01-23,2026-03-06,1
4192,Paid Search,1,55.41,55.41,82,3,42.8,2025-10-25,,0
4193,Social Media,15,15.4,231.0,44,2,62.1,2026-07-27,,0
4194,Email,8,27.64,221.12,38,3,100.0,2026-04-30,,0
4195,Organic,1,41.78,41.78,146,4,0.0,2026-04-11,2026-05-06,1
4196,Social Media,17,65.34,1110.78,50,2,28.7,2025-10-20,2026-01-02,1
4197,Paid Search,1,65.15,65.15,106,2,41.0,2025-11-17,2026-01-30,1
4198,Paid Search,3,45.95,137.85,93,4,23.0,2025-09-27,,0
4199,Paid Search,15,51.86,777.9,71,3,61.3,2026-01-17,,0
4200,Email,7,44.67,312.69,65,2,25.1,2026-06-30,,0
