player_id,platform,monetization_tier,sessions_per_week,avg_session_minutes,levels_completed,in_game_purchases,guild_member,days_since_last_session,first_session_date,churn_date,churned
5001,Mobile,Occasional Spender,0.9,25.5,48,16.51,0,27,2026-06-28,,0
5002,Mobile,Free-to-Play,3.0,22.6,43,0.0,0,27,2026-02-17,,0
5003,Mobile,Free-to-Play,8.1,23.7,57,0.0,0,21,2026-07-02,,0
5004,Mobile,Free-to-Play,6.1,38.1,15,0.0,0,21,2025-12-29,,0
5005,Mobile,Occasional Spender,6.9,29.4,21,67.43,0,19,2026-06-11,2026-06-25,1
5006,Mobile,Occasional Spender,13.9,45.3,39,14.7,1,18,2026-05-18,,0
5007,Mobile,Whale,6.5,35.7,68,338.45,1,15,2026-02-03,,0
5008,PC,Occasional Spender,4.9,26.2,6,5.82,0,38,2026-08-22,,0
5009,Console,Free-to-Play,10.3,36.3,63,0.0,1,0,2025-12-19,,0
5010,PC,Free-to-Play,10.1,37.5,57,0.0,1,0,2026-03-23,,0
5011,Mobile,Free-to-Play,10.6,14.7,24,0.0,0,38,2026-02-26,2026-04-25,1
5012,PC,Occasional Spender,4.0,21.5,42,33.29,0,20,2025-12-03,2025-12-04,1
5013,Mobile,Free-to-Play,8.5,16.0,92,0.0,1,0,2025-11-23,,0
5014,PC,Free-to-Play,3.1,27.8,45,0.0,1,27,2025-09-30,,0
5015,PC,Occasional Spender,12.6,34.9,63,15.76,0,10,2026-06-27,,0
5016,Mobile,Occasional Spender,6.9,26.5,52,49.67,0,21,2026-03-28,2026-04-01,1
5017,Mobile,Whale,2.1,12.0,14,278.63,0,21,2026-07-28,2026-08-06,1
5018,Console,Free-to-Play,2.7,24.9,48,0.0,0,12,2026-05-27,2026-07-03,1
5019,Console,Free-to-Play,10.8,13.8,63,0.0,1,26,2026-02-11,,0
5020,PC,Free-to-Play,7.2,12.1,56,0.0,0,20,2026-07-15,,0
5021,Console,Free-to-Play,11.8,6.4,53,0.0,1,24,2026-03-22,,0
5022,Console,Free-to-Play,3.7,13.2,19,0.0,0,30,2025-09-24,,0
5023,Mobile,Free-to-Play,9.6,23.5,43,0.0,1,18,2026-08-06,,0
5024,PC,Occasional Spender,5.4,8.3,19,16.27,1,30,2026-06-08,,0
5025,Mobile,Free-to-Play,6.2,32.4,38,0.0,1,18,2026-05-20,,0
5026,Mobile,Free-to-Play,7.2,24.2,56,0.0,0,19,2025-10-03,,0
5027,Mobile,Occasional Spender,0.0,0.0,12,14.49,1,36,2025-12-06,2025-12-11,1
5028,Console,Free-to-Play,9.6,56.7,62,0.0,1,4,2026-06-25,,0
5029,PC,Free-to-Play,7.5,20.8,45,0.0,1,33,2025-12-19,,0
5030,Mobile,Free-to-Play,13.0,28.6,54,0.0,0,21,2026-08-25,,0
5031,Mobile,Free-to-Play,6.4,11.1,15,0.0,0,45,2025-11-13,,0
5032,Mobile,Occasional Spender,9.5,35.1,62,23.57,0,4,2026-06-11,,0
5033,PC,Free-to-Play,7.7,12.5,14,0.0,0,28,2025-12-15,2025-12-24,1
5034,Console,Free-to-Play,4.1,20.2,0,0.0,0,37,2026-03-05,2026-04-10,1
5035,Mobile,Whale,12.1,31.6,83,39.93,0,12,2025-12-07,,0
5036,Mobile,Free-to-Play,5.5,25.6,0,0.0,1,42,2026-04-26,,0
5037,PC,Occasional Spender,2.4,5.7,48,38.64,0,30,2026-02-19,,0
5038,Mobile,Free-to-Play,10.9,41.5,71,0.0,0,0,2025-10-04,,0
5039,PC,Whale,7.5,31.1,52,139.47,1,27,2025-11-11,,0
5040,Mobile,Free-to-Play,4.4,39.4,62,0.0,0,0,2026-02-14,,0
5041,Mobile,Free-to-Play,5.3,43.4,63,0.0,1,15,2025-09-29,,0
5042,Mobile,Occasional Spender,5.0,28.0,80,34.26,0,7,2026-07-20,,0
5043,Console,Occasional Spender,5.2,20.4,20,56.13,0,34,2025-12-19,,0
5044,Mobile,Free-to-Play,0.3,0.0,5,0.0,0,55,2026-01-15,2026-02-20,1
5045,Mobile,Free-to-Play,0.0,10.5,9,0.0,1,46,2026-05-30,,0
5046,PC,Free-to-Play,4.5,26.3,2,0.0,0,30,2026-04-12,,0
5047,Console,Occasional Spender,9.5,45.4,55,27.59,0,0,2026-04-05,,0
5048,Mobile,Occasional Spender,12.6,35.4,92,16.58,1,2,2025-12-27,2025-12-27,1
5049,Mobile,Free-to-Play,7.3,25.4,12,0.0,0,43,2026-01-15,,0
5050,PC,Free-to-Play,6.4,15.8,65,0.0,0,13,2025-11-18,2025-12-20,1
5051,Mobile,Free-to-Play,9.2,33.8,104,0.0,0,17,2026-01-04,,0
5052,PC,Occasional Spender,7.7,18.2,86,32.76,0,22,2025-09-06,,0
5053,Mobile,Free-to-Play,7.8,18.0,80,0.0,1,22,2025-11-02,,0
5054,Mobile,Free-to-Play,7.2,35.5,87,0.0,1,1,2026-02-02,,0
5055,Mobile,Whale,5.4,31.0,55,63.89,1,10,2026-08-25,,0
5056,PC,Free-to-Play,3.9,25.1,37,0.0,1,12,2026-04-20,,0
5057,Mobile,Free-to-Play,1.9,4.5,20,0.0,0,50,2026-07-16,,0
5058,Mobile,Free-to-Play,10.0,29.3,53,0.0,0,15,2026-03-26,,0
5059,Mobile,Free-to-Play,9.7,9.8,58,0.0,0,20,2025-09-03,,0
5060,PC,Occasional Spender,6.8,12.2,26,43.0,0,41,2026-04-07,,0
5061,Mobile,Free-to-Play,12.4,41.2,64,0.0,0,10,2025-11-06,,0
5062,PC,Free-to-Play,1.6,0.0,0,0.0,1,45,2026-03-20,,0
5063,PC,Free-to-Play,0.0,1.8,11,0.0,0,45,2026-02-02,2026-03-16,1
5064,Mobile,Occasional Spender,0.0,6.3,5,70.74,0,39,2026-08-21,2026-09-01,1
5065,Console,Free-to-Play,3.1,34.5,21,0.0,0,35,2025-12-24,2025-12-26,1
5066,Console,Free-to-Play,4.5,12.8,40,0.0,0,28,2026-06-02,,0
5067,Mobile,Free-to-Play,0.0,23.9,31,0.0,0,52,2026-03-17,,0
5068,Mobile,Free-to-Play,3.7,12.5,58,0.0,1,39,2025-09-05,,0
5069,Mobile,Whale,8.4,11.0,27,202.48,0,16,2026-06-11,,0
5070,Mobile,Occasional Spender,11.0,40.7,85,16.66,0,7,2025-09-27,,0
5071,PC,Occasional Spender,3.3,13.7,31,39.55,0,29,2025-11-02,,0
5072,Console,Free-to-Play,6.1,19.2,33,0.0,0,40,2026-08-14,2026-09-01,1
5073,Console,Free-to-Play,0.0,13.7,21,0.0,0,36,2026-04-19,,0
5074,Mobile,Whale,6.6,17.2,20,135.06,0,30,2025-09-08,2025-09-11,1
5075,Mobile,Free-to-Play,12.3,43.1,66,0.0,0,0,2026-03-19,,0
5076,Mobile,Occasional Spender,10.3,36.7,83,19.21,0,0,2025-11-15,,0
5077,PC,Free-to-Play,3.0,27.1,65,0.0,0,38,2025-09-30,2025-10-07,1
5078,Mobile,Free-to-Play,5.6,28.6,24,0.0,1,23,2026-08-30,,0
5079,Console,Free-to-Play,8.1,20.6,10,0.0,0,21,2025-12-08,,0
5080,Console,Free-to-Play,8.2,34.8,42,0.0,0,21,2025-10-02,2025-10-21,1
5081,Mobile,Free-to-Play,0.6,18.8,49,0.0,1,23,2026-02-02,,0
5082,PC,Free-to-Play,13.4,32.7,53,0.0,0,16,2025-09-15,,0
5083,PC,Free-to-Play,2.9,19.4,29,0.0,1,12,2025-12-19,2025-12-25,1
5084,Console,Free-to-Play,6.5,16.0,26,0.0,1,13,2026-01-14,,0
5085,Mobile,Occasional Spender,7.0,21.6,53,3.73,0,6,2026-07-17,,0
5086,Mobile,Free-to-Play,0.0,0.0,5,0.0,1,50,2025-11-17,2026-01-28,1
5087,PC,Occasional Spender,5.5,42.5,58,29.08,0,27,2025-10-23,,0
5088,Mobile,Free-to-Play,7.2,0.0,53,0.0,0,32,2026-05-02,2026-05-25,1
5089,PC,Free-to-Play,10.3,38.6,32,0.0,1,20,2026-07-05,,0
5090,Mobile,Free-to-Play,6.2,18.7,59,0.0,1,28,2026-02-04,,0
5091,PC,Occasional Spender,4.4,37.9,56,20.8,0,13,2025-09-23,,0
5092,Console,Free-to-Play,10.5,12.9,44,0.0,1,5,2025-12-07,,0
5093,Mobile,Occasional Spender,11.4,35.6,66,27.76,0,11,2025-11-09,,0
5094,Mobile,Free-to-Play,5.7,33.8,39,0.0,0,26,2026-02-08,2026-02-08,1
5095,PC,Occasional Spender,4.4,20.9,27,31.23,0,35,2026-04-01,,0
5096,Mobile,Occasional Spender,1.4,3.0,0,9.79,0,41,2026-05-12,,0
5097,PC,Whale,10.9,20.4,73,320.56,0,17,2025-11-10,,0
5098,PC,Free-to-Play,2.6,0.0,30,0.0,1,49,2026-01-07,,0
5099,Mobile,Whale,7.8,33.1,58,321.17,0,23,2025-12-02,,0
5100,Console,Free-to-Play,11.4,18.3,29,0.0,0,10,2025-10-29,,0
5101,PC,Occasional Spender,4.3,13.7,17,17.36,0,28,2025-09-08,,0
5102,PC,Free-to-Play,5.7,24.1,35,0.0,1,18,2025-10-30,,0
5103,Mobile,Free-to-Play,10.9,25.6,73,0.0,1,15,2026-03-22,,0
5104,Mobile,Free-to-Play,0.0,5.7,4,0.0,0,57,2026-07-14,,0
5105,Mobile,Occasional Spender,5.8,10.4,35,2.9,1,25,2026-02-08,,0
5106,Console,Free-to-Play,5.4,19.0,12,0.0,0,25,2026-03-22,2026-03-22,1
5107,Console,Free-to-Play,6.6,23.0,57,0.0,0,5,2025-09-24,,0
5108,Console,Free-to-Play,4.7,0.0,5,0.0,0,41,2026-08-17,,0
5109,Mobile,Occasional Spender,4.9,13.9,30,39.83,0,29,2025-10-23,,0
5110,PC,Free-to-Play,1.4,20.9,51,0.0,1,41,2026-01-13,,0
5111,PC,Free-to-Play,7.2,27.7,21,0.0,0,28,2026-08-06,,0
5112,PC,Free-to-Play,5.4,18.2,28,0.0,0,36,2026-06-04,,0
5113,Mobile,Free-to-Play,5.6,21.0,2,0.0,1,23,2026-08-09,,0
5114,Console,Free-to-Play,10.5,29.6,59,0.0,0,9,2025-09-26,,0
5115,Mobile,Occasional Spender,8.9,34.9,77,27.32,0,20,2026-01-08,,0
5116,Mobile,Occasional Spender,6.3,23.1,52,13.17,1,14,2026-01-18,,0
5117,Console,Free-to-Play,10.3,48.3,67,0.0,0,0,2026-02-23,,0
5118,Mobile,Free-to-Play,4.7,17.0,45,0.0,1,42,2026-04-07,,0
5119,Mobile,Free-to-Play,8.7,22.4,55,0.0,0,14,2026-06-30,2026-07-03,1
5120,PC,Free-to-Play,4.8,0.3,39,0.0,0,43,2025-12-08,,0
5121,Console,Free-to-Play,7.9,41.3,65,0.0,0,16,2026-07-14,2026-08-23,1
5122,Mobile,Occasional Spender,8.8,16.2,0,11.25,0,21,2026-06-17,,0
5123,PC,Free-to-Play,6.1,30.1,51,0.0,1,30,2025-09-09,,0
5124,Mobile,Free-to-Play,9.0,34.1,3,0.0,0,27,2026-07-29,,0
5125,Mobile,Whale,10.6,40.7,46,185.62,1,27,2025-09-18,,0
5126,Mobile,Free-to-Play,7.3,54.0,89,0.0,0,2,2026-07-31,,0
5127,PC,Free-to-Play,1.0,0.0,0,0.0,1,49,2026-03-07,2026-03-15,1
5128,Mobile,Free-to-Play,3.3,15.7,37,0.0,1,46,2026-01-31,2026-02-22,1
5129,Mobile,Free-to-Play,8.1,33.9,39,0.0,1,9,2026-07-21,,0
5130,PC,Occasional Spender,0.8,20.8,14,27.92,1,24,2025-10-11,,0
5131,PC,Occasional Spender,3.0,41.0,48,5.04,1,24,2025-09-16,,0
5132,PC,Free-to-Play,3.1,3.9,7,0.0,1,33,2026-06-11,,0
5133,Console,Free-to-Play,1.5,22.4,44,0.0,0,43,2026-06-12,,0
5134,Mobile,Free-to-Play,3.8,18.8,48,0.0,0,15,2025-11-27,2025-12-10,1
5135,Mobile,Free-to-Play,10.5,43.3,59,0.0,1,22,2026-04-18,,0
5136,Mobile,Free-to-Play,10.5,35.8,69,0.0,0,13,2026-08-18,,0
5137,PC,Free-to-Play,0.0,16.1,13,0.0,0,47,2025-12-01,2026-01-01,1
5138,Mobile,Free-to-Play,3.7,2.0,43,0.0,0,28,2026-04-25,,0
5139,Mobile,Occasional Spender,3.0,30.4,69,7.52,1,24,2026-04-05,,0
5140,Mobile,Occasional Spender,8.1,19.3,43,39.87,0,27,2026-01-05,2026-01-11,1
5141,Mobile,Free-to-Play,5.5,35.5,44,0.0,0,20,2026-02-02,,0
5142,Console,Free-to-Play,3.6,18.2,25,0.0,1,15,2025-11-03,,0
5143,PC,Free-to-Play,5.2,10.7,51,0.0,0,16,2025-11-13,,0
5144,Mobile,Free-to-Play,3.8,12.9,40,0.0,0,45,2025-09-21,2025-10-29,1
5145,PC,Free-to-Play,0.3,0.0,0,0.0,0,18,2025-09-30,2025-10-02,1
5146,PC,Free-to-Play,0.0,22.9,0,0.0,0,36,2026-01-13,,0
