user_id,subscription_tier,monthly_revenue,listening_hours,playlist_saves,concerts_attended,merchandise_spend,days_since_last_activity,signup_date,churn_date,churned
1001,Free,0.0,33.2,25,0,163.53,27,2026-08-11,,0
1002,Free,0.0,40.3,21,1,182.0,13,2025-12-27,,0
1003,Free,0.0,36.3,28,1,197.15,25,2025-11-01,,0
1004,Free,0.0,35.0,19,0,4.59,34,2026-03-23,,0
1005,Free,0.0,48.3,9,3,258.86,0,2026-01-31,,0
1006,Free,0.0,37.7,23,7,263.38,8,2026-03-07,,0
1007,Free,0.0,24.2,20,0,87.25,33,2025-12-31,,0
1008,Premium,18.99,19.6,14,1,108.32,45,2026-08-13,2026-08-22,1
1009,Premium,18.99,48.2,14,4,241.0,20,2026-01-18,,0
1010,Premium,18.99,38.3,33,1,331.89,26,2026-03-18,,0
1011,Free,0.0,18.5,6,0,138.3,72,2026-08-18,,0
1012,Premium,18.99,29.4,23,2,181.82,29,2025-11-12,,0
1013,Free,0.0,54.4,33,1,317.2,0,2026-07-07,,0
1014,Premium,18.99,27.4,24,2,116.02,35,2026-01-28,,0
1015,Student,9.99,37.8,36,3,245.24,22,2025-10-25,,0
1016,Free,0.0,36.8,19,0,78.19,41,2025-09-29,,0
1017,Free,0.0,12.2,18,0,165.46,57,2026-01-14,2026-05-17,1
1018,Premium,18.99,21.4,14,1,8.75,68,2025-12-13,2026-05-11,1
1019,Premium,18.99,20.9,44,4,241.01,7,2026-01-30,,0
1020,Premium,18.99,24.6,13,1,159.84,27,2025-11-21,,0
1021,Premium,18.99,46.7,24,2,275.37,40,2025-09-09,,0
1022,Premium,18.99,22.6,19,0,42.35,41,2026-03-17,2026-05-16,1
1023,Free,0.0,47.7,33,0,214.75,31,2026-04-03,,0
1024,Premium,18.99,28.7,19,1,120.14,51,2026-06-29,,0
1025,Free,0.0,59.7,31,4,224.27,40,2025-09-08,,0
1026,Student,9.99,30.4,11,4,116.08,49,2025-10-03,,0
1027,Free,0.0,0.0,19,0,102.31,61,2025-12-17,2026-02-24,1
1028,Premium,18.99,31.1,26,0,78.97,0,2026-01-03,2026-04-12,1
1029,Premium,18.99,21.2,28,0,94.29,29,2026-06-18,,0
1030,Free,0.0,42.8,21,3,153.54,35,2025-10-04,,0
1031,Free,0.0,24.7,18,2,176.93,25,2026-08-10,2026-08-17,1
1032,Student,9.99,61.6,29,2,273.42,19,2026-01-18,,0
1033,Premium,18.99,34.3,17,0,126.62,18,2026-05-31,2026-07-21,1
1034,Premium,18.99,14.6,9,1,150.79,43,2026-03-19,2026-04-23,1
1035,Free,0.0,64.6,31,1,193.76,30,2026-07-28,2026-08-17,1
1036,Student,9.99,5.8,0,0,89.32,60,2026-07-13,,0
1037,Student,9.99,0.0,9,1,71.67,50,2026-04-16,2026-06-18,1
1038,Free,0.0,60.2,32,6,242.45,2,2026-04-08,,0
1039,Student,9.99,9.5,22,2,230.89,14,2025-10-14,,0
1040,Free,0.0,29.0,31,1,328.62,36,2026-01-25,,0
1041,Free,0.0,45.6,28,3,171.98,19,2026-08-20,,0
1042,Student,9.99,40.0,18,2,263.45,4,2025-09-26,,0
1043,Premium,18.99,25.4,19,1,158.82,39,2026-01-21,,0
1044,Free,0.0,0.0,22,0,52.38,70,2025-11-02,,0
1045,Free,0.0,16.4,23,0,100.06,48,2025-09-28,2026-06-06,1
1046,Premium,18.99,30.6,0,1,79.48,47,2026-02-25,2026-03-26,1
1047,Premium,18.99,48.8,33,0,0.0,14,2026-06-27,,0
1048,Student,9.99,40.0,39,1,348.9,5,2026-03-21,,0
1049,Free,0.0,0.0,6,0,7.41,58,2025-12-24,2026-03-05,1
1050,Premium,18.99,18.1,14,3,114.09,48,2026-08-19,,0
1051,Student,9.99,58.6,35,4,257.99,19,2025-09-20,,0
1052,Premium,18.99,34.0,24,2,97.74,44,2026-04-25,,0
1053,Free,0.0,30.9,18,2,211.42,16,2026-01-03,2026-03-23,1
1054,Free,0.0,16.9,34,4,192.07,32,2025-09-07,,0
1055,Free,0.0,41.7,25,3,137.46,32,2025-10-20,,0
1056,Premium,18.99,16.4,10,1,137.21,32,2025-12-04,2026-07-12,1
1057,Free,0.0,18.4,16,1,55.47,51,2026-05-14,2026-06-20,1
1058,Free,0.0,32.2,16,4,263.88,32,2026-02-21,,0
1059,Student,9.99,32.3,24,6,117.02,37,2026-03-01,,0
1060,Premium,18.99,12.8,4,1,0.01,35,2025-10-21,,0
1061,Free,0.0,77.2,51,0,318.76,27,2026-08-17,,0
1062,Premium,18.99,10.0,0,0,0.0,81,2026-08-23,2026-08-26,1
1063,Premium,18.99,5.2,0,0,0.0,68,2026-07-19,2026-07-21,1
1064,Free,0.0,15.4,4,0,17.7,53,2025-09-16,2026-01-09,1
1065,Premium,18.99,4.9,18,0,105.11,49,2026-02-15,2026-05-18,1
1066,Premium,18.99,20.0,26,0,149.56,26,2025-12-19,,0
1067,Free,0.0,2.3,34,5,122.58,36,2026-07-28,,0
1068,Free,0.0,48.5,31,0,83.78,16,2026-08-27,,0
1069,Free,0.0,37.3,16,0,164.42,23,2026-01-06,2026-03-19,1
1070,Free,0.0,54.5,27,1,345.75,39,2025-12-17,,0
1071,Student,9.99,22.5,25,0,0.0,46,2026-03-29,2026-05-04,1
1072,Premium,18.99,10.1,15,2,19.4,43,2026-08-01,2026-08-17,1
1073,Premium,18.99,11.6,5,5,139.05,54,2026-03-06,,0
1074,Free,0.0,47.4,17,1,257.37,26,2026-01-10,2026-03-27,1
1075,Student,9.99,46.9,22,2,79.11,13,2026-06-15,,0
1076,Free,0.0,47.4,32,1,322.38,9,2026-05-14,,0
1077,Student,9.99,19.8,23,1,301.56,24,2025-12-02,,0
1078,Free,0.0,47.1,27,3,106.29,22,2026-06-15,2026-07-11,1
1079,Premium,18.99,23.7,14,0,232.71,47,2026-07-26,,0
1080,Premium,18.99,20.3,16,1,176.67,28,2026-01-14,,0
1081,Free,0.0,11.6,3,0,126.17,50,2026-08-23,,0
1082,Premium,18.99,24.5,26,5,136.25,35,2026-03-26,,0
1083,Student,9.99,28.9,21,1,221.05,33,2026-02-05,,0
1084,Premium,18.99,37.7,20,3,236.48,26,2026-08-08,2026-08-20,1
1085,Student,9.99,42.8,29,1,359.82,32,2026-01-05,,0
1086,Free,0.0,20.0,11,0,161.94,44,2025-11-04,2026-04-12,1
1087,Premium,18.99,33.9,32,1,165.13,9,2025-09-10,,0
1088,Free,0.0,38.8,13,0,358.49,44,2026-05-26,,0
1089,Student,9.99,32.0,24,0,272.39,21,2026-05-04,2026-07-01,1
1090,Free,0.0,66.3,31,2,217.22,15,2026-01-18,,0
1091,Premium,18.99,29.1,18,3,103.92,40,2026-01-25,,0
1092,Premium,18.99,37.5,31,3,125.62,14,2026-01-21,2026-05-05,1
1093,Free,0.0,40.4,33,5,152.02,0,2026-05-09,,0
1094,Student,9.99,23.5,8,0,62.8,63,2026-08-11,,0
1095,Premium,18.99,1.1,13,0,188.02,29,2026-08-22,2026-08-24,1
1096,Free,0.0,11.4,6,0,76.37,59,2025-09-01,2025-12-01,1
1097,Student,9.99,34.1,39,7,222.69,0,2026-04-05,,0
1098,Premium,18.99,16.9,2,1,67.15,55,2026-03-21,2026-07-10,1
1099,Free,0.0,12.1,17,1,110.03,32,2026-01-15,,0
1100,Premium,18.99,25.2,29,1,200.96,46,2026-06-18,,0
1101,Student,9.99,25.3,27,0,34.65,47,2026-04-14,,0
1102,Premium,18.99,51.4,28,1,166.36,53,2026-03-25,,0
1103,Free,0.0,40.7,26,3,278.63,5,2026-07-28,,0
1104,Free,0.0,0.6,5,0,0.0,48,2026-01-23,2026-02-01,1
1105,Free,0.0,12.2,10,4,208.4,50,2026-06-22,,0
1106,Premium,18.99,12.7,16,2,86.47,42,2026-08-30,,0
1107,Premium,18.99,31.2,20,1,122.16,3,2026-01-17,,0
1108,Premium,18.99,20.6,0,0,121.61,43,2026-05-14,2026-07-07,1
